hr,member_casual,trips
0,casual,23750
0,member,15910
1,casual,15720
1,member,9757
2,casual,9431
2,member,5592
3,casual,5504
3,member,3658
4,casual,4216
4,member,4022
5,casual,7018
5,member,15004
6,casual,13625
6,member,43085
7,casual,22553
7,member,81082
8,casual,32617
8,member,102352
9,casual,31713
9,member,64576
10,casual,39214
10,member,55931
11,casual,51246
11,member,65229
12,casual,61848
12,member,74650
13,casual,64173
13,member,73312
14,casual,63974
14,member,71318
15,casual,70093
15,member,89819
16,casual,82710
16,member,132680
17,casual,93342
17,member,157668
18,casual,85443
18,member,131823
19,casual,68045
19,member,95908
20,casual,53533
20,member,71102
21,casual,45214
21,member,55725
22,casual,39667
22,member,40848
23,casual,28569
23,member,25445
