station,starts,ends,net,imb
Franklin St & Monroe St,4044.0,5424.0,-1380.0,1380.0
Field Museum,5754.0,4732.0,1022.0,1022.0
Wells St & Madison St,2063.0,2951.0,-888.0,888.0
Clark St & Ida B Wells Dr,3604.0,2720.0,884.0,884.0
DuSable Lake Shore Dr & North Blvd,17151.0,17942.0,-791.0,791.0
Michigan Ave & 8th St,7256.0,6468.0,788.0,788.0
Columbus Dr & Randolph St,7883.0,7188.0,695.0,695.0
Theater on the Lake,14285.0,14951.0,-666.0,666.0
DuSable Lake Shore Dr & Monroe St,16860.0,16282.0,578.0,578.0
Clark St & Newport St,4570.0,5137.0,-567.0,567.0
Sheffield Ave & Addison St,5422.0,5923.0,-501.0,501.0
Wacker Dr & Washington St,2427.0,2928.0,-501.0,501.0
LaSalle St & Jackson Blvd,4112.0,4611.0,-499.0,499.0
Indiana Ave & Roosevelt Rd,7992.0,7496.0,496.0,496.0
Franklin St & Jackson Blvd,5749.0,6240.0,-491.0,491.0
